Date,Open,High,Low,Close,Volume,Change
2009-04-28,125520,127561,116846,116846,259326,-0.061477911646586336
2009-04-29,118887,122459,116846,122459,115083,0.04803758793625801
2009-04-30,125520,132663,125010,130623,253702,0.06666721106656115
2009-05-04,133174,135725,130622,135725,189353,0.03905897123783708
2009-05-06,133684,134704,130622,134195,156629,-0.01127279425308525
2009-05-07,135215,137256,131133,136746,190552,0.019009650135996203
2009-05-08,135215,138276,131643,132664,127999,-0.029850964562034732
2009-05-11,130622,133174,128071,133174,166394,0.003844298377856825
2009-05-12,131133,132663,122459,129092,428527,-0.03065162869629212
2009-05-13,127561,128581,121948,121949,288305,-0.05533263099185082
2009-05-14,119397,120418,114295,116846,234958,-0.04184536158558083
2009-05-15,118887,122969,116846,117357,157467,0.004373277647501839
2009-05-18,117866,120418,113784,114295,152149,-0.026091328169602135
2009-05-19,117356,122459,115825,121439,194146,0.06250492147513009
2009-05-20,121438,121948,118887,120418,72537,-0.00840751323709843
2009-05-21,119397,119397,113274,115316,172520,-0.04236908103439685
2009-05-22,112764,114805,108682,108682,215624,-0.057528877172291826
2009-05-25,108172,113274,102049,112254,160600,0.03286652803592127
2009-05-26,112254,113274,106641,108172,125842,-0.036363960304309884
2009-05-27,109192,110723,104090,105111,128508,-0.02829752616203829
2009-05-28,103579,107151,100824,107152,161743,0.01941756809468087
2009-05-29,108172,113784,106131,111744,242413,0.04285500970583844
2009-06-01,111743,116846,108682,113275,181780,0.013700959335624319
2009-06-02,115315,123989,113784,122459,492972,0.08107702493930691
2009-06-03,126030,126030,116336,122459,388360,0.0
2009-06-04,120928,120928,113784,116846,158272,-0.0458357491078647
2009-06-05,116336,116846,109702,112764,184332,-0.03493487154031805
2009-06-08,110213,114805,106641,107152,193571,-0.04976765634422331
2009-06-09,108172,109192,102559,105111,234725,-0.019047707928923407
2009-06-10,105620,106131,102049,105621,218572,0.004852013585638026
2009-06-11,105110,109702,103069,109193,349608,0.033819032200036014
2009-06-12,110213,110213,105110,106641,229626,-0.0233714615405749
2009-06-15,107151,108682,105110,106641,120256,0.0
2009-06-16,104090,107151,103069,106131,98562,-0.004782400765184103
2009-06-17,105620,108172,105110,106641,144637,0.0048053820278712855
2009-06-18,107151,107661,104090,104090,84376,-0.02392138108232289
2009-06-19,105110,105620,102559,104600,105671,0.004899606110096988
2009-06-22,103579,106641,103579,105111,62392,0.004885277246653885
2009-06-23,102559,103069,100008,100416,103009,-0.04466706624425609
2009-06-24,100416,100620,96436,97049,184738,-0.033530513065646916
2009-06-25,97456,99191,97354,97355,211379,0.0031530463992415214
2009-06-26,97967,98477,92660,92967,257664,-0.04507215859483338
