Date,Open,High,Low,Close,Volume,Change
2009-04-21,33950,36965,33901,36382,800334,0.03889206167904047
2009-04-22,36771,37597,36041,36577,1024560,0.0053597933043811885
2009-04-23,36673,36965,35457,36041,996119,-0.014654017552013565
2009-04-24,36187,37403,35749,36479,1015916,0.012152825948225532
2009-04-27,37111,37743,36187,36236,807444,-0.006661366813783265
2009-04-28,36284,37111,33658,34339,856504,-0.05235125289767084
2009-04-29,34533,35409,33755,35361,623372,0.029762078103613865
2009-04-30,35992,37208,35603,36479,961118,0.03161675291988342
2009-05-04,37306,37743,36819,36868,737409,0.010663669508484297
2009-05-06,37014,38667,36625,38036,1104332,0.03168059021373559
2009-05-07,39057,39154,36965,38084,1017892,0.0012619623514564804
2009-05-08,37841,38522,37500,38425,715318,0.008953891397962321
2009-05-11,38522,38619,37646,37647,573092,-0.020247234873129516
2009-05-12,37160,37452,35798,36236,1215871,-0.03747974606210325
2009-05-13,35992,36576,35020,35701,1086880,-0.014764322772933047
2009-05-14,34971,36187,34971,35215,687885,-0.013613064059830204
2009-05-15,35701,36381,35214,35701,518315,0.013800937100667321
2009-05-18,36090,36576,35117,35458,695595,-0.006806532029915102
2009-05-19,36187,36965,35701,36966,808288,0.04252918946359063
2009-05-20,36819,37354,36284,36966,743812,0.0
2009-05-21,36625,37257,35117,35361,955064,-0.04341827625385486
2009-05-22,34728,35701,33414,33610,1377688,-0.0495178303781002
2009-05-25,33171,34485,32004,34388,1104307,0.0231478726569474
2009-05-26,34387,34728,32685,32880,711045,-0.0438525066883797
2009-05-27,33512,34387,32928,33561,1032575,0.020711678832116887
2009-05-28,33074,33560,31809,33220,758881,-0.01016060308095701
2009-05-29,33220,34047,32539,34047,597946,0.024894641782059024
2009-06-01,34047,34630,33463,34485,691804,0.012864569565600448
2009-06-02,34922,35944,33804,33901,1135293,-0.016934899231550005
2009-06-03,34339,34339,33171,33464,692897,-0.012890475207220975
2009-06-04,33658,34874,33463,33561,1030036,0.00289863734162088
2009-06-05,33804,34874,33706,34874,767189,0.03912279133518082
2009-06-08,35214,36333,34776,36139,1419407,0.036273441532373774
2009-06-09,36673,36771,35311,35701,857258,-0.01211987050001384
2009-06-10,35701,36576,35457,36577,856682,0.024537127811545822
2009-06-11,36576,37597,36333,37257,1282058,0.01859091778986799
2009-06-12,37500,37743,36576,37355,687405,0.0026303781839653873
2009-06-15,37354,37452,33463,35215,2978388,-0.057288180966403424
2009-06-16,34728,35506,34436,34923,581505,-0.008291921056368001
2009-06-17,34922,34922,33658,34145,496184,-0.022277582109211713
2009-06-18,34436,34825,34047,34047,372214,-0.00287011275442961
2009-06-19,34387,34533,33560,33658,379673,-0.011425382559403174
2009-06-22,33755,34825,33658,34826,499887,0.034702002495691886
2009-06-23,34241,34387,33560,33901,471032,-0.026560615631999074
2009-06-24,34144,34193,32198,33464,433714,-0.012890475207220975
2009-06-25,33512,34630,33463,34242,464501,0.02324886445135066
2009-06-26,34679,34776,33560,33950,248622,-0.008527539279247653
2009-06-29,33950,33950,32831,32831,398963,-0.032960235640647984
2009-06-30,33123,33366,31615,31956,823092,-0.026651640218086525
2009-07-01,31809,32879,31518,32491,395324,0.016741769933658723
2009-07-02,32879,33852,32782,33561,466635,0.03293219660829161
2009-07-03,32928,34144,32928,34096,404430,0.015941122135812336
2009-07-06,34095,34241,33560,33804,265835,-0.008564054434537782
2009-07-07,33755,34095,33366,33658,305436,-0.004319015501124124
2009-07-08,33560,34339,33123,33950,385298,0.008675500623922971
2009-07-09,34193,34290,33171,33172,495537,-0.022916053019145788
2009-07-10,33074,33171,32101,32296,417671,-0.026407813818883352
2009-07-13,32296,32685,31712,31713,475049,-0.01805177111716616
2009-07-14,32101,32198,29767,29962,958062,-0.05521395011509478
2009-07-15,30350,32004,30156,31859,545124,0.06331353047193122
2009-07-16,32588,33463,32588,33366,732329,0.04730217520951685
2009-07-17,33852,33998,33074,33999,509138,0.01897140802014019
2009-07-20,34047,35165,33901,34874,801732,0.025736051060325282
2009-07-21,35068,35895,34825,35555,806683,0.01952744164707232
2009-07-22,35798,36187,35068,36187,540317,0.017775277738714568
2009-07-23,36333,37257,35701,36966,981835,0.02152706773150581
