Date,Open,High,Low,Close,Volume,Change
2009-07-16,46850,46950,45000,45800,174080,-0.012931034482758674
2009-07-17,45800,47750,45200,47450,183668,0.0360262008733625
2009-07-20,47900,48450,46800,48200,173405,0.015806111696522684
2009-07-21,48200,48700,47450,48050,173827,-0.003112033195020736
2009-07-22,48350,50000,48050,49300,304663,0.026014568158168494
2009-07-23,49350,50000,48100,49500,182494,0.0040567951318457585
2009-07-24,50100,51200,48400,49000,184470,-0.010101010101010055
2009-07-27,48950,50200,48050,49500,139745,0.010204081632652962
2009-07-28,50000,50200,49150,49800,141436,0.0060606060606061
2009-07-29,49500,51000,49200,50000,117752,0.004016064257028162
2009-07-30,50900,51800,48700,49900,264951,-0.0020000000000000018
2009-07-31,50500,50700,49350,50000,135486,0.002004008016031955
2009-08-03,50600,50600,48950,49600,104326,-0.008000000000000007
2009-08-04,49400,51100,48800,49850,100900,0.00504032258064524
2009-08-05,49450,50200,49300,49800,91973,-0.0010030090270812808
2009-08-06,49100,49700,48650,49150,65618,-0.013052208835341417
2009-08-07,48900,49050,47100,48950,110321,-0.004069175991861629
2009-08-10,49000,49350,47700,48150,162685,-0.01634320735444328
2009-08-11,47700,48000,46500,46600,199087,-0.03219106957424711
2009-08-12,46600,47400,45150,46300,210794,-0.006437768240343367
2009-08-13,46800,47600,46450,47500,199647,0.02591792656587466
2009-08-14,47250,47800,46400,47100,142810,-0.008421052631578996
2009-08-17,46750,46750,43750,43750,158066,-0.0711252653927813
2009-08-18,43500,45600,43100,44050,159605,0.006857142857142895
2009-08-19,44600,45150,43650,44600,76381,0.012485811577752637
2009-08-20,44800,44800,42650,43300,186041,-0.029147982062780242
2009-08-21,43500,45150,41950,44850,268542,0.035796766743648956
2009-08-24,45500,45500,43700,44900,143804,0.0011148272017837968
2009-08-25,44900,44900,43750,44500,100363,-0.008908685968819552
2009-08-26,44500,44500,43750,43900,80888,-0.013483146067415741
2009-08-27,43900,45000,43750,44250,174531,0.007972665148063829
2009-08-28,44300,44800,43200,44100,149913,-0.003389830508474523
2009-08-31,44100,44700,43000,44700,124694,0.013605442176870763
2009-09-01,44750,47300,44500,47300,681402,0.058165548098433995
2009-09-02,46650,47600,46050,47000,226930,-0.006342494714587699
2009-09-03,47000,49900,47000,48200,331838,0.025531914893617058
2009-09-04,48600,49850,47500,48800,138162,0.012448132780082943
2009-09-07,49500,49900,47550,48250,151467,-0.01127049180327866
2009-09-08,48000,48400,46600,47400,117597,-0.01761658031088087
2009-09-09,47400,47400,46050,47300,64128,-0.002109704641350185
2009-09-10,47300,48450,46650,48350,78755,0.022198731501057
2009-09-11,48350,52000,48000,50000,400435,0.03412616339193386
2009-09-14,50100,50700,49350,50000,94927,0.0
2009-09-15,50300,50500,48700,49600,85176,-0.008000000000000007
2009-09-16,49500,50500,49400,50500,89527,0.01814516129032251
2009-09-17,50800,51700,50100,51000,135450,0.00990099009900991
