Date,Open,High,Low,Close,Volume,Change
2016-01-07,39800,39800,37500,37500,75068,-0.04458598726114649
2016-01-08,36950,39000,36750,38200,36127,0.01866666666666661
2016-01-11,38000,38750,37500,38300,23090,0.002617801047120505
2016-01-12,37650,38250,36000,37450,89327,-0.022193211488250708
2016-01-13,37600,37750,36700,36900,84164,-0.014686248331108098
2016-01-14,36900,37300,36200,37150,62528,0.006775067750677488
2016-01-15,37200,37400,35600,35950,52273,-0.032301480484522194
2016-01-18,35300,35600,34800,35100,23373,-0.02364394993045893
2016-01-19,34450,34700,31400,32200,200386,-0.08262108262108259
2016-01-20,31300,32200,29200,29200,338758,-0.09316770186335399
2016-01-21,30000,31750,29300,30950,267883,0.05993150684931514
2016-01-22,31600,32450,30700,31300,112224,0.011308562197092087
2016-01-25,30800,32750,30800,31750,101675,0.01437699680511173
2016-01-26,32700,33100,31800,32200,76626,0.014173228346456623
2016-01-27,32500,33000,32000,32800,47853,0.01863354037267073
2016-01-28,32100,32650,31500,31750,81382,-0.03201219512195119
2016-01-29,31750,31750,30600,30700,79326,-0.03307086614173227
2016-02-01,30950,31300,29700,30850,84389,0.004885993485342022
2016-02-02,30100,32000,30100,31750,66933,0.029173419773095732
2016-02-03,31750,32800,30650,31200,81781,-0.017322834645669305
2016-02-04,29300,30500,28700,30500,675401,-0.022435897435897467
2016-02-05,30450,32100,29900,31600,192232,0.0360655737704918
2016-02-11,31100,32200,29400,32200,135857,0.018987341772152
2016-02-12,31600,32600,30200,31250,166657,-0.029503105590062084
2016-02-15,30750,32200,30750,31900,63517,0.02079999999999993
2016-02-16,31950,32800,30400,32600,189209,0.021943573667711602
2016-02-17,33200,34000,31800,33500,238539,0.027607361963190247
2016-02-18,33800,34550,33650,34250,135063,0.02238805970149249
2016-02-19,34500,34500,33600,34100,72924,-0.004379562043795637
2016-02-22,34400,34500,33900,34300,77827,0.0058651026392961825
2016-02-23,34500,34650,32650,33000,98577,-0.03790087463556846
2016-02-24,33600,33600,32400,32750,41631,-0.007575757575757569
2016-02-25,33000,33150,32200,32500,40013,-0.007633587786259555
2016-02-26,32500,32900,32300,32650,35713,0.004615384615384688
2016-02-29,32350,33400,32300,33300,45247,0.019908116385911168
2016-03-02,33100,33750,32900,33100,63964,-0.006006006006005982
2016-03-03,33250,35400,33150,34950,163297,0.0558912386706949
2016-03-04,34450,36000,34450,35600,89455,0.01859799713876975
2016-03-07,36500,36500,34800,35800,110682,0.00561797752808979
2016-03-08,36200,36200,34800,35300,53669,-0.013966480446927387
2016-03-09,34850,37250,34850,37150,141089,0.05240793201133154
2016-03-10,37150,38000,36750,38000,105804,0.02288021534320328
2016-03-11,37900,39150,37500,39150,103252,0.03026315789473677
2016-03-14,39450,39500,37650,38000,70004,-0.02937420178799488
2016-03-15,37650,38250,36650,37150,59526,-0.022368421052631593
2016-03-16,37150,37850,36950,37300,36047,0.004037685060565233
2016-03-17,37800,37800,36350,36900,64433,-0.01072386058981234
2016-03-18,36900,37700,36150,37700,76073,0.021680216802167918
2016-03-21,37900,37900,36250,37000,106424,-0.018567639257294433
2016-03-22,37000,37000,35900,36850,83600,-0.004054054054054013
2016-03-23,36550,38200,36400,38000,86762,0.031207598371777445
2016-03-24,37900,38500,37050,38000,98927,0.0
2016-03-25,38500,38500,37200,37500,69945,-0.013157894736842146
2016-03-28,37600,37750,36150,37000,71543,-0.013333333333333308
2016-03-29,36600,37050,35900,36300,137952,-0.018918918918918948
2016-03-30,36350,36550,35600,36000,72658,-0.008264462809917328
2016-03-31,36200,36900,35550,35550,118976,-0.012499999999999956
2016-04-01,35400,36100,34100,34900,164551,-0.01828410689170179
2016-04-04,35150,35700,35100,35500,60309,0.017191977077363862
2016-04-05,35500,35500,34300,35050,116649,-0.012676056338028152
2016-04-06,35050,35050,33650,34500,171766,-0.015691868758915817
2016-04-07,34300,35050,33900,35050,128456,0.01594202898550723
2016-04-08,35000,35050,33950,35000,78469,-0.0014265335235378318
2016-04-11,35100,36700,35000,36500,140867,0.04285714285714293
2016-04-12,36650,37200,35950,36600,81813,0.00273972602739736
