Date,Open,High,Low,Close,Volume,Change
2009-03-20,51400,52100,50500,52000,2689117,0.007751937984496138
2009-03-23,52000,53000,51800,53000,1918363,0.019230769230769162
2009-03-24,54000,54200,52700,53900,2012058,0.016981132075471805
2009-03-25,53500,53800,51900,52800,2659624,-0.020408163265306145
2009-03-26,52600,53900,51400,53700,4434958,0.017045454545454586
2009-03-27,54500,57000,54500,55100,4259022,0.026070763500931182
2009-03-30,56200,56700,53000,53000,2215606,-0.038112522686025385
2009-03-31,54400,56700,53900,55500,2899897,0.04716981132075482
2009-04-01,56000,59200,55500,58100,3814406,0.04684684684684681
2009-04-02,60000,61500,59500,60700,3124800,0.04475043029259895
2009-04-03,62100,64000,60300,61500,3399268,0.01317957166392092
2009-04-06,62000,64300,61400,62100,2428907,0.009756097560975618
2009-04-07,62600,64200,61300,62700,1931488,0.009661835748792313
2009-04-08,61700,62700,58900,60200,2444559,-0.03987240829346095
2009-04-09,60900,66000,60500,65500,2641507,0.08803986710963452
2009-04-10,67000,68000,63600,64700,2243033,-0.012213740458015265
2009-04-13,67500,67800,65300,66100,2050376,0.021638330757341562
2009-04-14,66500,66900,63900,66300,1977821,0.00302571860816947
2009-04-15,65300,66000,64100,65900,1240716,-0.006033182503770718
2009-04-16,66500,67300,64000,64600,2804182,-0.019726858877086473
2009-04-17,65000,67000,65000,65300,2790443,0.010835913312693402
2009-04-20,65500,66900,64900,65900,1524403,0.009188361408882129
2009-04-21,64000,64900,63100,64500,1513099,-0.02124430955993928
2009-04-22,65000,66900,64200,66000,2105105,0.023255813953488413
2009-04-23,67000,69200,66100,68100,3028982,0.031818181818181746
2009-04-24,67600,68000,65200,66700,1612930,-0.02055800293685761
2009-04-27,66100,67500,65200,65600,1276904,-0.016491754122938573
2009-04-28,66000,67300,62700,63900,1729388,-0.02591463414634143
2009-04-29,63800,65700,63200,65700,1106157,0.028169014084507005
2009-04-30,66500,68900,66200,68500,2262728,0.0426179604261796
2009-05-04,69500,71000,67800,68900,1830300,0.005839416058394109
2009-05-06,68700,68900,66500,68900,1928079,0.0
2009-05-07,69500,69600,66200,66500,2475261,-0.03483309143686497
2009-05-08,66000,66700,63700,65400,2420749,-0.016541353383458635
2009-05-11,65200,65300,64000,64800,1926412,-0.00917431192660545
2009-05-12,64300,65700,64300,65400,1663558,0.0092592592592593
2009-05-13,65400,65400,64600,65100,1016285,-0.004587155963302725
2009-05-14,64400,64500,62300,64000,2528691,-0.016897081413210446
2009-05-15,64200,64800,63100,63500,1583152,-0.0078125
2009-05-18,63400,65100,63000,64200,1370323,0.011023622047244164
2009-05-19,65700,67000,65600,66800,2131624,0.04049844236760114
2009-05-20,67100,68200,66500,67300,1530476,0.007485029940119681
2009-05-21,67600,68000,65500,66700,1466755,-0.008915304606240682
2009-05-22,65800,66100,64100,64300,1413240,-0.0359820089955023
2009-05-25,64200,66200,61400,65800,1778769,0.023328149300155587
2009-05-26,66300,66400,63800,64500,1053028,-0.019756838905775065
2009-05-27,65100,65200,63100,64100,1352528,-0.006201550387596955
2009-05-28,63800,68300,63200,67800,2748017,0.057722308892355745
2009-05-29,68800,70000,68500,69300,2443714,0.022123893805309658
2009-06-01,70000,72400,69500,71900,3641386,0.037518037518037506
2009-06-02,73500,74500,71300,71400,2681766,-0.006954102920723182
2009-06-03,72800,73000,70900,71600,1256541,0.0028011204481792618
2009-06-04,72300,75600,71500,72900,3656702,0.018156424581005526
2009-06-05,74000,74100,71100,72100,1667743,-0.010973936899862813
2009-06-08,71600,72600,68500,68900,1786931,-0.04438280166435504
2009-06-09,69900,70500,67700,68000,998518,-0.013062409288824406
2009-06-10,68500,72300,67700,72300,1542285,0.06323529411764706
